category,défaut,AUROC
bottle,broken_large,1.0
bottle,broken_small,1.0
bottle,contamination,1.0
cable,bent_wire,1.0
cable,cable_swap,1.0
cable,combined,1.0
cable,cut_inner_insulation,1.0
cable,cut_outer_insulation,1.0
cable,missing_cable,1.0
cable,missing_wire,1.0
cable,poke_insulation,1.0
capsule,faulty_imprint,0.957
capsule,crack,0.992
capsule,poke,0.994
capsule,scratch,0.994
capsule,squeeze,0.998
carpet,color,1.0
carpet,cut,1.0
carpet,hole,1.0
carpet,metal_contamination,1.0
carpet,thread,1.0
grid,bent,1.0
grid,broken,1.0
grid,glue,1.0
grid,metal_contamination,1.0
grid,thread,1.0
hazelnut,crack,1.0
hazelnut,cut,1.0
hazelnut,hole,1.0
hazelnut,print,1.0
leather,color,1.0
leather,cut,1.0
leather,fold,1.0
leather,glue,1.0
leather,poke,1.0
metal_nut,bent,1.0
metal_nut,color,1.0
metal_nut,flip,1.0
metal_nut,scratch,1.0
pill,color,0.986
pill,crack,0.99
pill,combined,1.0
pill,contamination,1.0
pill,faulty_imprint,1.0
pill,pill_type,1.0
pill,scratch,1.0
screw,manipulated_front,0.929
screw,thread_side,0.979
screw,scratch_head,1.0
screw,scratch_neck,1.0
screw,thread_top,1.0
tile,crack,1.0
tile,glue_strip,1.0
tile,gray_stroke,1.0
tile,oil,1.0
tile,rough,1.0
toothbrush,defective,1.0
transistor,cut_lead,0.973
transistor,bent_lead,0.993
transistor,misplaced,0.997
transistor,damaged_case,0.998
wood,hole,0.984
wood,scratch,0.995
wood,color,1.0
wood,combined,1.0
wood,liquid,1.0
zipper,squeezed_teeth,0.998
zipper,broken_teeth,1.0
zipper,combined,1.0
zipper,fabric_border,1.0
zipper,fabric_interior,1.0
zipper,rough,1.0
zipper,split_teeth,1.0
