category,n_test,dino_img,dino_pix,dino_aupimo,pc_img,pc_pix,pc_aupimo,mean_img,mean_pix,mean_aupimo,max_img,max_pix,max_aupimo
bottle,83,1.0,0.9907,0.9524,1.0,0.9826,0.9917,1.0,0.9896,0.9809,1.0,0.9832,0.9897
cable,150,0.9961,0.9842,0.7076,0.9923,0.9808,0.6555,0.9987,0.9862,0.8608,0.9929,0.9812,0.6743
capsule,132,0.9832,0.987,0.7181,0.9657,0.9874,0.6131,1.0,0.9927,0.8995,0.9956,0.9912,0.814
carpet,117,0.9968,0.9927,0.8815,0.9884,0.9877,0.8604,1.0,0.9932,0.9787,0.9988,0.9897,0.9456
grid,78,1.0,0.9936,0.998,0.9758,0.9714,0.5495,1.0,0.9918,0.9941,0.9967,0.9863,0.7808
hazelnut,110,1.0,0.9935,0.9319,1.0,0.9815,0.865,1.0,0.9922,0.9832,1.0,0.9839,0.8736
leather,124,1.0,0.9918,0.9997,1.0,0.9902,0.9984,1.0,0.9922,1.0,1.0,0.9908,0.9994
metal_nut,115,1.0,0.9753,0.9391,0.9966,0.9847,0.7499,1.0,0.984,0.9648,1.0,0.985,0.8043
pill,167,0.9888,0.9799,0.7476,0.9392,0.9744,0.3827,0.9864,0.9841,0.8631,0.9498,0.9757,0.4514
screw,160,0.9656,0.9961,0.6626,0.8682,0.9853,0.3506,0.9709,0.9953,0.7186,0.8819,0.9865,0.3838
tile,117,1.0,0.9708,0.9681,0.9996,0.9451,0.8755,1.0,0.9688,0.9912,0.9996,0.9524,0.9121
toothbrush,42,0.9806,0.9877,0.4638,0.9583,0.9853,0.5411,0.9806,0.9897,0.5921,0.9806,0.9875,0.6618
transistor,100,0.9883,0.9106,0.2431,0.9979,0.9457,0.5973,0.9983,0.9494,0.4996,0.9908,0.9471,0.5254
wood,79,0.9965,0.9713,0.5467,0.9886,0.9242,0.7234,0.9965,0.961,0.6927,0.9912,0.9331,0.7617
zipper,151,0.9989,0.9897,0.6891,0.9808,0.9821,0.3859,0.9968,0.9903,0.6237,0.9961,0.9851,0.5365
